date,open,high,low,close,volume,value
2025-01-03,6900,6960,6880,6920,1000000,6920000000
2025-01-06,6920,6990,6900,6970,1010000,7039700000
2025-01-08,6970,7010,6940,6990,990000,6920100000
2025-01-09,6990,7040,6960,7020,1020000,7160400000
2025-01-10,7020,7080,7000,7060,1100000,7766000000
2025-01-13,7060,7090,7010,7030,1050000,7381500000
2025-01-14,7030,7110,7020,7100,1070000,7597000000
2025-01-15,7100,7150,7070,7120,1030000,7333600000
2025-01-16,7120,7160,7090,7140,1080000,7711200000
2025-01-17,7140,7200,7110,7180,1090000,7826200000
2025-01-20,7180,7210,7140,7160,980000,7016800000
2025-01-21,7160,7240,7150,7220,1120000,8086400000
2025-01-22,7220,7280,7200,7260,1150000,8349000000
2025-01-23,7260,7300,7220,7240,1040000,7529600000
2025-01-24,7240,7310,7230,7290,1110000,8091900000
2025-01-27,7290,7350,7270,7330,1160000,8502800000
2025-01-28,7330,7370,7290,7310,1020000,7456200000
2025-01-29,7310,7390,7300,7370,1180000,8696600000
2025-01-30,7370,7420,7350,7400,1190000,8806000000
2025-01-31,7400,7460,7380,7440,1210000,9002400000
2025-02-03,7440,7480,7390,7410,1100000,8151000000
2025-02-04,7410,7490,7400,7470,1220000,9113400000
2025-02-05,7470,7520,7440,7500,1250000,9375000000
2025-02-06,7500,7550,7470,7530,1240000,9337200000
2025-02-07,7530,7590,7510,7570,1260000,9538200000
2025-02-10,7570,7600,7520,7540,1050000,7917000000
2025-02-11,7540,7620,7530,7600,1270000,9652000000
2025-02-12,7600,7660,7580,7640,1300000,9932000000
2025-02-13,7640,7680,7600,7620,1150000,8763000000
2025-02-14,7620,7700,7610,7680,1320000,10137600000
2025-02-17,7680,7730,7650,7710,1310000,10100100000
2025-02-18,7710,7760,7680,7740,1290000,9984600000
2025-02-19,7740,7790,7710,7770,1340000,10411800000
2025-02-20,7770,7820,7740,7800,1360000,10608000000
2025-02-21,7800,7850,7760,7790,1200000,9348000000
2025-02-24,7790,7860,7780,7840,1370000,10740800000
2025-02-25,7840,7900,7820,7880,1380000,10874400000
2025-02-26,7880,7920,7850,7890,1330000,10493700000
2025-02-27,7890,7950,7870,7930,1390000,11022700000
2025-02-28,7930,7980,7900,7960,1410000,11223600000
2025-03-03,7960,8010,7920,7940,1260000,10004400000
2025-03-04,7940,8030,7930,8010,1440000,11534400000
2025-03-05,8010,8060,7980,8040,1450000,11658000000
2025-03-06,8040,8090,8010,8070,1430000,11540100000
2025-03-07,8070,8120,8040,8100,1460000,11826000000
2025-03-10,8100,8140,8060,8080,1300000,10504000000
2025-03-11,8080,8160,8070,8140,1470000,11965800000
2025-03-12,8140,8190,8110,8170,1480000,12091600000
2025-03-13,8170,8210,8130,8150,1360000,11084000000
2025-03-14,8150,8230,8140,8210,1500000,12315000000
2025-03-17,8210,8260,8180,8240,1510000,12442400000
2025-03-18,8240,8290,8210,8270,1520000,12570400000
2025-03-19,8270,8310,8230,8250,1400000,11550000000
2025-03-20,8250,8330,8240,8310,1530000,12714300000
2025-03-21,8310,8360,8280,8340,1540000,12843600000
2025-03-24,8340,8380,8300,8320,1390000,11564800000
2025-03-25,8320,8400,8310,8380,1550000,12989000000
2025-03-26,8380,8430,8350,8410,1560000,13119600000
2025-03-27,8410,8460,8380,8440,1570000,13250800000
2025-03-28,8440,8490,8400,8460,1580000,13366800000
