rank,ticker,company_name,issuecapitalization_rub,listlevel,e_disclosure_company_id,e_disclosure_company_url,e_disclosure_files_type_4_url,e_disclosure_files_type_3_url,e_disclosure_files_type_2_url,e_disclosure_search_url,e_disclosure_search_terms,link_status,source_board,source_universe,captured_on
1,SBER,Сбербанк России ПАО ао,6753260812320.0,1,3043,https://www.e-disclosure.ru/portal/company.aspx?id=3043,https://www.e-disclosure.ru/portal/files.aspx?id=3043&type=4,https://www.e-disclosure.ru/portal/files.aspx?id=3043&type=3,https://www.e-disclosure.ru/portal/files.aspx?id=3043&type=2,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""Сбербанк"" | Сбербанк | SBER | Сбербанк России ПАО ао",known_company_id,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
2,ROSN,ПАО НК Роснефть,3459245239468.8,1,6505,https://www.e-disclosure.ru/portal/company.aspx?id=6505,https://www.e-disclosure.ru/portal/files.aspx?id=6505&type=4,https://www.e-disclosure.ru/portal/files.aspx?id=6505&type=3,https://www.e-disclosure.ru/portal/files.aspx?id=6505&type=2,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""НК Роснефть"" | Роснефть | ROSN | ПАО НК Роснефть",known_company_id,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
3,LKOH,НК ЛУКОЙЛ (ПАО) - ао,3032673440274.0,1,17,https://www.e-disclosure.ru/portal/company.aspx?id=17,https://www.e-disclosure.ru/portal/files.aspx?id=17&type=4,https://www.e-disclosure.ru/portal/files.aspx?id=17&type=3,https://www.e-disclosure.ru/portal/files.aspx?id=17&type=2,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""ЛУКОЙЛ"" | ЛУКОЙЛ | LKOH | НК ЛУКОЙЛ (ПАО) - ао",known_company_id,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
4,NVTK,"ПАО ""НОВАТЭК"" ао",2970721790400.0,1,225,https://www.e-disclosure.ru/portal/company.aspx?id=225,https://www.e-disclosure.ru/portal/files.aspx?id=225&type=4,https://www.e-disclosure.ru/portal/files.aspx?id=225&type=3,https://www.e-disclosure.ru/portal/files.aspx?id=225&type=2,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""НОВАТЭК"" | НОВАТЭК | NVTK | ПАО ""НОВАТЭК"" ао",known_company_id,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
5,PLZL,Полюс ПАО ао,2743703383616.4,1,12430,https://www.e-disclosure.ru/portal/company.aspx?id=12430,https://www.e-disclosure.ru/portal/files.aspx?id=12430&type=4,https://www.e-disclosure.ru/portal/files.aspx?id=12430&type=3,https://www.e-disclosure.ru/portal/files.aspx?id=12430&type=2,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""Полюс"" | Полюс | PLZL | Полюс ПАО ао",known_company_id,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
6,GAZP,"""Газпром"" (ПАО) ао",2473645362921.0,1,934,https://www.e-disclosure.ru/portal/company.aspx?id=934,https://www.e-disclosure.ru/portal/files.aspx?id=934&type=4,https://www.e-disclosure.ru/portal/files.aspx?id=934&type=3,https://www.e-disclosure.ru/portal/files.aspx?id=934&type=2,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""Газпром"" | Газпром | GAZP | ""Газпром"" (ПАО) ао",known_company_id,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
7,SIBN,Газпром нефть ПАО ао,2179812509030.25,3,347,https://www.e-disclosure.ru/portal/company.aspx?id=347,https://www.e-disclosure.ru/portal/files.aspx?id=347&type=4,https://www.e-disclosure.ru/portal/files.aspx?id=347&type=3,https://www.e-disclosure.ru/portal/files.aspx?id=347&type=2,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""Газпром нефть"" | Газпром нефть | SIBN | Газпром нефть ПАО ао",known_company_id,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
8,GMKN,"ГМК ""Нор.Никель"" ПАО ао",2013210938490.0,1,564,https://www.e-disclosure.ru/portal/company.aspx?id=564,https://www.e-disclosure.ru/portal/files.aspx?id=564&type=4,https://www.e-disclosure.ru/portal/files.aspx?id=564&type=3,https://www.e-disclosure.ru/portal/files.aspx?id=564&type=2,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""ГМК Норильский никель"" | Норильский никель | GMKN | ГМК ""Нор.Никель"" ПАО ао",known_company_id,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
9,YDEX,МКПАО ЯНДЕКС,1545114487392.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,Яндекс | YDEX | МКПАО ЯНДЕКС,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
10,TATN,"ПАО ""Татнефть"" ао",1166253131710.0,1,118,https://www.e-disclosure.ru/portal/company.aspx?id=118,https://www.e-disclosure.ru/portal/files.aspx?id=118&type=4,https://www.e-disclosure.ru/portal/files.aspx?id=118&type=3,https://www.e-disclosure.ru/portal/files.aspx?id=118&type=2,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""Татнефть"" | Татнефть | TATN | ПАО ""Татнефть"" ао",known_company_id,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
