rank,ticker,company_name,share_type,edisclosure_company_id,edisclosure_url,moex_source_url
1,LKOH,"ПАО ""ЛУКОЙЛ""",Обыкновенные,17,https://www.e-disclosure.ru/portal/company.aspx?id=17,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
2,SBER,ПАО Сбербанк,Обыкновенные,3043,https://www.e-disclosure.ru/portal/company.aspx?id=3043,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
3,GAZP,"ПАО ""Газпром""",Обыкновенные,934,https://www.e-disclosure.ru/portal/company.aspx?id=934,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
4,YDEX,"МКПАО ""ЯНДЕКС""",Обыкновенные,39059,https://www.e-disclosure.ru/portal/company.aspx?id=39059,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
5,TATN,"ПАО ""Татнефть"" им. В.Д. Шашина",Обыкновенные,118,https://www.e-disclosure.ru/portal/company.aspx?id=118,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
6,T,"МКПАО ""Т-Технологии""",Обыкновенные,39055,https://www.e-disclosure.ru/portal/company.aspx?id=39055,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
7,NVTK,"ПАО ""НОВАТЭК""",Обыкновенные,225,https://www.e-disclosure.ru/portal/company.aspx?id=225,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
8,GMKN,"ПАО ""ГМК ""Норильский никель""",Обыкновенные,564,https://www.e-disclosure.ru/portal/company.aspx?id=564,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
9,PLZL,"ПАО ""Полюс""",Обыкновенные,7832,https://www.e-disclosure.ru/portal/company.aspx?id=7832,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
10,OZON,"МКПАО ""Озон""",Обыкновенные,39583,https://www.e-disclosure.ru/portal/company.aspx?id=39583,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
11,VTBR,Банк ВТБ (ПАО),Обыкновенные,1210,https://www.e-disclosure.ru/portal/company.aspx?id=1210,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
12,X5,"ПАО ""Корпоративный центр ИКС 5""",Обыкновенные,39008,https://www.e-disclosure.ru/portal/company.aspx?id=39008,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
13,ROSN,"ПАО ""НК ""Роснефть""",Обыкновенные,6505,https://www.e-disclosure.ru/portal/company.aspx?id=6505,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
14,SBERP,ПАО Сбербанк,Привилегированные,3043,https://www.e-disclosure.ru/portal/company.aspx?id=3043,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
15,SNGS,"ПАО ""Сургутнефтегаз""",Обыкновенные,312,https://www.e-disclosure.ru/portal/company.aspx?id=312,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
